Prey/Predator,Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
Shrimp,0,0,0,0,0.07729474,0.01929807,0,0.03703703,0.0526,0.01030103,0.1104,0.0841,0.0505091,0.00819941,0.03010301,0.02511614,0.03950403,0.008600593,0.005203642,0.001199882,0.000102995,0.1009,0,0.03080308,0.0009999,0,0.02720188,0,0,0,0.000199994,0,0,0.01490149,0.001,0.04038772,0.00660066,0,0,0,0.04390439,0.02079792,0.00060006,0.0805,0.0367,0.06169383,0.02009799,0.01440058,0.0201423,0,0,0,0.0498,0.001,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
Small mobile epifauna (swarming crustaceans),0,0,0,0,0.06839535,0,0,0.04127561,0.2394,0.07770777,0.0914,0.0736,0.02340421,0.001299906,0.02140214,0.002743779,0.04070415,0.009200634,0.01410988,0.005699442,0,0,0.04761905,0.00620062,0.02749725,0,0.1279088,0.0519103,0.02061856,0,0.03169902,0,0.01550028,0.1927193,0.3288,0.003331987,0.1526153,0,0,0,0,0.00139986,0,0.2205,0,0.00389961,0.1313869,0.01220049,0.1559274,0,0.1005101,0,0.0796,0.0197,0.15,0.05,0.04,0.05,0.09999999,0,0,0,0,0,0,0,0,0
Small infauna (polychaetes),0,0,0,0,0.1194919,0.00149985,0,0.07518417,0.1016,0.03080308,0.0115,0.0448,0.02270409,0.000599957,0.03270327,0.01150277,0.2193224,0.08330575,0.001100771,0.000399961,0,0.0002,0,0.00870087,0.1686831,0,0.000400028,0,0,0,0.1190963,0,0.1875034,0.4687469,0.1379,0.2817044,0,0.4231,0.6575658,0.6852,0,0,0,0.439,0.001,0.02119788,0.03929607,0.01110044,0.02064335,0,0,0,0,0.1035,0.2,0.25,0.11,0.09999999,0,0.05,0,0,0,0,0,0,0,0
Sessile epifauna,0,0,0,0,0.00853942,0,0,0.008678978,0,0,0,0,0.00100018,9.39932E-05,0,0.00021106,0.00520053,0.007100489,0,0,0,0,0,0,0,0,0,0,0,0,0.002599919,0,0,0.0140014,0.011,0,0.04890489,0,0.1952195,0.0244,0,0,0,0,0,0.00509949,0,0,0,0,0,0,0,0.0491,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meiofauna,0,0,0,0,0.000495966,0,0,0.01009183,0.0042,0,0,0,0,0,0,0,0.00020002,0.00130009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04780086,0.00340034,0.0009,0,0,0.4359,0,0,0,0,0,0.0175,0,0.00079992,0.02919708,0,0,0,0,0,0,0,0,0,0.05,0.09999999,0.15,0.15,0,0.05,0,0,0,0,0,0
"Benthic microflora (incl. Bacteria, protozoa))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491,0.1,0.1,0.3,0.15,0.2,0.4,0,0.75,0.1,0.02,0,0,0,0
"Planktonic microflora (incl. Bacteria, protozoa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1802944,0.04339523,0.04760086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1018102,0.05,0.0995,0.0491,0.05,0.1,0.1,0.12,0.15,0.05,0.7,0,0.1,0.1,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.02170039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05170859,0.2,0,0.9,0.0995,0,0.1,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0
Detritus - DOM -water column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.03,0.05,0.1,0.09999999,0.09999999,0.15,0,0,0.2,0.65,0,0,0,0
Detritus - POM - sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.15,0.3,0.17,0.3,0.2,0.2,0.2,0.6,0.23,0,0,0,0
Discards,0,0,0,0.2029162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1282,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
