rownames,REGION,SPECIES,TYPE,HABITAT,FGUILD,LengthGroup,TaxonGroup,YEAR,BIOMASS,LANDINGS,NumSpecies
25,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1982,896641.7,303385.7654,1
26,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1982,1741461.3,287340.401,1
27,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1982,212520.47,42996.1646,1
28,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1983,850358.2,335701.5548,1
29,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1983,1526377.5,326379.1321,1
30,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1983,342110.82,26827.17949,1
31,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1984,746980.9,367737.7056,1
32,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1984,1462976.4,281261.0196,1
33,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1984,396282.24,42963.9769,1
34,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1985,651566.7,301195.8256,1
35,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1985,1574636.2,317248.3865,1
36,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1985,406467.45,58882.63206,1
37,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1986,463582.2,242375.0077,1
38,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1986,1106779,257790.738,1
39,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1986,374767.54,66592.404,1
40,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1987,434634.9,210308.8866,1
41,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1987,1675538.6,222731.0747,1
42,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1987,405568.58,87817.3966,1
43,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1988,405825.7,198200.621,1
44,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1988,1118595.4,252897.358,1
45,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1988,323654.21,76933.3936,1
46,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1989,323057.52,174491.2171,1
47,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1989,992272.7,262678.26,1
48,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1989,435727.5,46148.2211,1
49,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1990,259655.67,152167.03,1
50,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1990,1123558.7,279474.1773,1
51,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1990,779855.7,53904.25645,1
52,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1991,185660.08,118163.4212,1
53,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1991,997774.7,197777.5577,1
54,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1991,1071220.4,89337.57244,1
55,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1992,143130.61,52731.13626,1
56,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1992,1068892.7,188865.099,1
57,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1992,1362586.34,209930.1472,1
58,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1993,182240.31,44841.1708,1
59,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1993,1138426.5,231125.248,1
60,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1993,1346099.7,132054.5087,1
61,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1994,277447.83,93200.85318,1
62,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1994,1228751.5,242851.3,1
63,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1994,1644904.53,265497.2566,1
64,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1995,306775.45,107666.1559,1
65,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1995,1043918.3,222214.48,1
66,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1995,2288523.6,279849.6,1
67,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1996,258477.66,121897.4164,1
68,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1996,1206580.7,195973.788,1
69,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1996,2342705.3,418568.2,1
70,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1997,191155.98,88745.60583,1
71,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1997,731117.9,198249.335,1
72,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1997,2110105,513908.7289,1
73,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1998,180044.63,67396.8126,1
74,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1998,761841.9,222229.0361,1
75,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1998,1923791.6,456644.1126,1
76,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1999,202802.02,72989.68746,1
77,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1999,617314.6,175875.865,1
78,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,1999,1778815.4,412357.7842,1
79,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2000,194709.89,89300.99129,1
80,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2000,712822.2,210040.216,1
81,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2000,1666058.9,366988.4578,1
82,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2001,146048.53,78589.36326,1
83,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2001,773345.1,204462.544,1
84,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2001,1429500.3,336347.88,1
85,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2002,170483.67,67728.60042,1
86,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2002,621003.8,172696.472,1
87,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2002,1067384.8,266769.533,1
88,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2003,169767.4,71303.22176,1
89,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2003,1014042.1,154386.879,1
90,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2003,1225071,307129.344,1
91,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2004,161099.76,67648.66073,1
92,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2004,645851.2,130621.4,1
93,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2004,1678812.6,331925.1284,1
94,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2005,180627.89,59435.23305,1
95,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2005,724143.3,91454.661,1
96,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2005,1504770.6,370805.472,1
97,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2006,236974.88,89273.7147,1
98,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2006,1000010.7,105619.12,1
99,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2006,1321153.2,321277.4579,1
100,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2007,286142.48,50538.52416,1
101,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2007,1090207.3,112635.3,1
102,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2007,1430647.3,379112.2565,1
103,BALT,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,2008,413436.51,35543.834,1
104,BALT,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,2008,1178804.5,125824.8519,1
105,BALT,Sprat,Fish,Pelagic,Planktivore,Small,Clupeid,2008,1440308.4,362053.318,1
106,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1946,4168882,706000,1
107,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1947,3692801,882017,1
108,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1948,3665819,774295,1
109,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1949,3065111,800122,1
110,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1950,2830103,731982,1
111,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1950,1635100,15100,1
112,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1950,234472,132125,1
113,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1951,3141009,827180,1
114,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1951,3007560,262900,1
115,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1951,338248,120077,1
116,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1952,3407679,876795,1
117,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1952,6110600,417800,1
118,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1952,224485,127660,1
119,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1953,3557376,695546,1
120,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1953,1171400,201400,1
121,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1953,483448,123920,1
122,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1954,4039204,826021,1
123,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1954,725230,323500,1
124,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1954,509606,156788,1
125,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1955,3488383,1147841,1
126,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1955,495150,150800,1
127,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1955,467606,202286,1
128,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1956,3189831,1343068,1
129,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1956,195620,143400,1
130,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1956,454218,213924,1
131,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1957,2495895,792557,1
132,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1957,165660,149500,1
133,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1957,308640,123583,1
134,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1958,2164149,769313,1
135,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1958,148370,215300,1
136,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1958,259568,112672,1
137,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1959,2415826,744607,1
138,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1959,490480,244100,1
139,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1959,335084,88211,1
140,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1960,2050805,622042,1
141,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1960,1501460,256800,1
142,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1960,372926,154651,1
143,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1960,767473,133515,1
144,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1961,2137149,783221,1
145,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1961,3233200,329100,1
146,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1961,368279,193224,1
147,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1961,774927,105951,1
148,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1962,1957006,909266,1
149,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1962,1132700,184600,1
150,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1962,324814,187408,1
151,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1962,794132,120707,1
152,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1963,1747579,776337,1
153,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1963,605350,190500,1
154,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1963,286005,146224,1
155,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1963,894257,148627,1
156,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1964,1374529,437695,1
157,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1964,657851,110800,1
158,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1964,172936,40391,1
159,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1964,277061,99158,1
160,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1964,859622,197426,1
161,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1965,1440693,444930,1
162,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1965,1465990,216700,1
163,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1965,171360,34751,1
164,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1965,333334,118578,1
165,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1965,884694,185600,1
166,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1966,2198418,483711,1
167,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1966,640640,110000,1
168,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1966,181481,26321,1
169,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1966,362033,161778,1
170,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1966,842688,203788,1
171,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1967,2852164,572605,1
172,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1967,169198,155200,1
173,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1967,209629,24267,1
174,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1967,434775,136397,1
175,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1967,812239,181326,1
176,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1968,3387455,1074084,1
177,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1968,71290,48200,1
178,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1968,244357,26168,1
179,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1968,394231,181726,1
180,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1968,778843,110247,1
181,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1969,2805591,1197226,1
182,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1969,29917,23800,1
183,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1969,274338,43789,1
184,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1969,318870,130820,1
185,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1969,920271,140060,1
186,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1970,2057698,933246,1
187,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1970,33005,35300,1
188,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1970,312358,89484,1
189,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1970,263010,88257,1
190,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1970,1032756,264924,1
191,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1971,1610969,689048,1
192,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1971,93531,13100,1
193,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1971,242821,79034,1
194,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1971,316029,78905,1
195,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1971,1007521,241272,1
196,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1972,1621485,565254,1
197,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1972,5297,7161,1
198,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1972,6600000,1592000,1
199,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1972,196247,43055,1
200,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1972,569844,266153,1
201,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1972,944517,214334,1
202,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1973,2401955,792685,1
203,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1973,15005,1017,1
204,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1973,5144000,1336000,1
205,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1973,180315,29938,1
206,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1973,550424,322226,1
207,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1973,911672,213859,1
208,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1974,2236387,1102433,1
209,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1974,66440,1619,1
210,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1974,5733000,1149000,1
211,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1974,173145,37763,1
212,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1974,547098,221157,1
213,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1974,797521,264121,1
214,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1975,2037430,829377,1
215,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1975,217870,1713,1
216,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1975,7806000,1440000,1
217,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1975,152745,38172,1
218,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1975,430910,175758,1
219,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1975,658808,233453,1
220,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1976,1931396,867463,1
221,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1976,141850,436,1
222,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1976,6417000,2587000,1
223,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1976,126133,36074,1
224,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1976,263774,137264,1
225,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1976,617215,242486,1
226,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1977,1950748,905301,1
227,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1977,86870,1706,1
228,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1977,4796000,2987000,1
229,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1977,100845,28827,1
230,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1977,184025,110158,1
231,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1977,540047,182817,1
232,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1978,1576565,698715,1
233,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1978,167700,1824,1
234,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1978,4247000,1915000,1
235,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1978,87203,24617,1
236,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1978,196644,95422,1
237,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1978,469932,155464,1
238,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1979,1114381,440538,1
239,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1979,108150,864,1
240,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1979,4162000,1783000,1
241,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1979,105009,17312,1
242,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1979,245878,103623,1
243,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1979,469793,164680,1
244,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1980,863862,380434,1
245,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1980,138770,577,1
246,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1980,6715000,1648000,1
247,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1980,86210,13284,1
248,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1980,254081,87889,1
249,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1980,433652,144554,1
250,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1981,983658,399038,1
251,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1981,182150,2736,1
252,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1981,3895000,1986000,1
253,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1981,92194,15018,1
254,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1981,217294,77153,1
255,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1981,523380,175540,1
256,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1982,750871,363730,1
257,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1982,27245,655,1
258,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1982,3779000,1760000,1
259,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1982,87871,16789,1
260,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1982,165702,46955,1
261,BS,Pandalid shrimps (NS),Invertebrate,Demersal,Benthivore,,Pelagic Zooplankton,1982,790000,62838,1
262,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1982,457494,168034,1
263,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1983,738675,289992,1
264,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1983,381595,3054,1
265,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1983,4230000,2358000,1
266,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1983,104233,22147,1
267,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1983,87193,24600,1
268,BS,Pandalid shrimps (NS),Invertebrate,Demersal,Benthivore,,Pelagic Zooplankton,1983,1037000,104806,1
269,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1983,452679,156936,1
270,BS,Atlantic cod,Fish,Demersal,Omnivore,Large,Gadoid,1984,817596,277651,1
271,BS,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1984,1493630,532,1
272,BS,Capelin,Fish,Pelagic,Planktivore,Small,Forage fish,1984,2964000,1478000,1
273,BS,Greenland halibut,Fish,Demersal,Zoopivore,Small,Pleuronectid,1984,93518,21883,1
274,BS,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1984,69883,20945,1
275,BS,Pandalid shrimps (NS),Invertebrate,Demersal,Benthivore,,Pelagic Zooplankton,1984,1139000,128062,1
276,BS,Pollock,Fish,Pelagic,Piscivore,Large,Gadoid,1984,352057,158786,1
