Prey \ Predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Polychaetes,Crustaceans,Molluscs,Macrobenthos other,Megabenthos filterers,Megabenthos other,Shrimps,Larval-juv fishes,Small pelagics- commercial,Small pelagics- other,Squids,Small pelagics- anadromous,Medium pelagics,Demersal benthivores,Demersals omnivores,Demersals piscivores,Pelagic sharks,Highly migratory species,Pinnipeds,Baleen whales,Toothed whales,Seabirds,Discards,Detritus- POC
Macrobenthos other,0,0,0,0,0.004,0,0,0.051,0.104,0.052,0.08,0,0.201,0.075,0.04,0.011,0.003,0.015,0,0.012,0.18,0.118,0.109,0.01,0,0,0.023,0,0,,
Megabenthos filterers,0,0,0,0,0,0,0,0.003,0.011,0.011,0.004,0,0.033,0,0,0,0,0,0,0,0.052,0.043,0.011,0,0,0,0,0,0,,
Megabenthos other,0,0,0,0,0,0,0,0.003,0.01,0.011,0.05,0,0.143,0,0,0,0,0,0,0.19,0.095,0.118,0.022,0,0,0,0.007,0,0,,
Shrimps,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0.068,0,0.024,0.021,0.004,0.153,0,0,0,0,0,0.062,,
Larval-juv fishes,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.066,0.106,0.007,0.15,0.008,0.012,0,0.012,0.011,0,0,0,0,0,0,,
Small pelagics- commercial,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0.355,0.06,0.058,0.27,0.21,0.144,0.445,0.058,0.352,0.273,,
Small pelagics- other,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.036,0.002,0.002,0.056,0.05,0.721,0.148,0.006,0.19,0.235,,
Squids,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0.036,0.004,0.002,0.055,0.16,0.063,0,0.011,0.254,0.061,,
Small pelagics- anadromous,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.024,0,0,0.002,0.02,0,0.11,0.003,0.046,0.04,,
Medium pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.13,0,0.001,0,0.001,0.001,,
Demersal benthivores,0,0,0,0,0,0,0,0,0.004,0,0.005,0,0.007,0,0,0.002,0,0,0,0.119,0.037,0.013,0.011,0.05,0,0.074,0,0,0,,
Demersals omnivores,0,0,0,0,0,0,0,0,0.002,0,0.003,0,0.004,0,0,0.002,0,0,0,0.059,0.006,0.01,0.004,0.08,0,0.074,0,0.063,0.037,,
Demersals piscivores,0,0,0,0,0,0,0,0,0,0,0.003,0,0.004,0,0,0.002,0,0,0,0.119,0.004,0.006,0.218,0.07,0,0.074,0,0.063,0.025,,
Pelagic sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,,
Highly migratory species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,,
Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,,
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,,
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.003,0,,
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,,
Discards,0,0,0,0,0,0,0,0.005,0.005,0.005,0.007,0,0.033,0.054,0,0,0,0,0,0,0.012,0.024,0,0,0,0,0,0,0.113,,
Detritus- POC,0,0.85,0.35,0.11,0.05,0.1,0.115,0.45,0.26,0.3,0.29,0.2,0.12,0.32,0.052,0,0,0,0,0,0.012,0.012,0,0.05,0,0,0.012,0,0,,
