Prey \ Predator,Phytoplankton- Primary Producers,Bacteria,Microzooplankton,Small copepods,Large copepods,Gelatinous zooplankton,Micronekton,Mesopelagics,Polychaetes,Crustaceans,Molluscs,Macrobenthos other,Megabenthos filterers,Megabenthos other,Shrimps,Larval-juv fishes,Small pelagics- commercial,Small pelagics- other,Squids,Small pelagics- anadromous,Medium pelagics,Demersal benthivores,Demersals omnivores,Demersals piscivores,Pelagic sharks,Highly migratory species,Baleen whales,Toothed whales,Seabirds,Discards,Detritus
Medium pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.001,0.12,0,0,0.001,0.001,0,0
Demersal benthivores,0,0,0,0,0,0,0,0,0,0.004,0,0.005,0,0.007,0,0,0.001,0,0,0,0.091,0.07,0.044,0.029,0.05,0,0,0,0,0,0
Demersals omnivores,0,0,0,0,0,0,0,0,0,0.002,0,0.003,0,0.004,0,0,0.001,0,0,0,0.013,0.03,0.004,0.005,0.08,0,0,0.063,0.037,0,0
Demersals piscivores,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.004,0,0,0.007,0,0,0,0.093,0.026,0.031,0.153,0.07,0,0,0.063,0.025,0,0
Pelagic sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
Highly migratory species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
Baleen whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
Toothed whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.003,0,0,0
Seabirds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
Discards,0,0,0,0,0,0,0,0,0.005,0.005,0.005,0.007,0,0.033,0.054,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.113,0,0
Detritus- POC,0,0.85,0.35,0.11,0.05,0.1,0.115,0.02,0.45,0.26,0.3,0.29,0.2,0.12,0.32,0.052,0,0.001,0,0.002,0.001,0.01,0.01,0.001,0.05,0,0.012,0,0,0,0
